game_id,target,value,reason
TRKR1/450501,more_dragons_side,,missing_dragon_count
TRKR1/450501,first_four_dragon_side,,missing_source_count
TRKR1/450501,dragon_soul_side,N/A,system_not_available
TRKR1/450501,elder_dragon_side,N/A,system_not_available
TRKR1/450501,first_baron_side,RED,team_totals
TRKR1/450501,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450501,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440467,winner_side,BLUE,team_totals
TRKR1/440467,first_dragon_side,RED,firstdragon_flags
TRKR1/440467,more_dragons_side,,missing_dragon_count
TRKR1/440467,first_four_dragon_side,,missing_source_count
TRKR1/440467,dragon_soul_side,N/A,system_not_available
TRKR1/440467,elder_dragon_side,N/A,system_not_available
TRKR1/440467,first_baron_side,BLUE,team_totals
TRKR1/440467,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440467,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450512,winner_side,RED,team_totals
TRKR1/450512,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450512,more_dragons_side,,missing_dragon_count
TRKR1/450512,first_four_dragon_side,,missing_source_count
TRKR1/450512,dragon_soul_side,N/A,system_not_available
TRKR1/450512,elder_dragon_side,N/A,system_not_available
TRKR1/450512,first_baron_side,RED,team_totals
TRKR1/450512,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450512,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440498,winner_side,BLUE,team_totals
TRKR1/440498,first_dragon_side,BLUE,firstdragon_flags
TRKR1/440498,more_dragons_side,,missing_dragon_count
TRKR1/440498,first_four_dragon_side,,missing_source_count
TRKR1/440498,dragon_soul_side,N/A,system_not_available
TRKR1/440498,elder_dragon_side,N/A,system_not_available
TRKR1/440498,first_baron_side,BLUE,team_totals
TRKR1/440498,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440498,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440499,winner_side,RED,team_totals
TRKR1/440499,first_dragon_side,RED,firstdragon_flags
TRKR1/440499,more_dragons_side,,missing_dragon_count
TRKR1/440499,first_four_dragon_side,,missing_source_count
TRKR1/440499,dragon_soul_side,N/A,system_not_available
TRKR1/440499,elder_dragon_side,N/A,system_not_available
TRKR1/440499,first_baron_side,BLUE,team_totals
TRKR1/440499,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440499,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440510,winner_side,RED,team_totals
TRKR1/440510,first_dragon_side,RED,firstdragon_flags
TRKR1/440510,more_dragons_side,,missing_dragon_count
TRKR1/440510,first_four_dragon_side,,missing_source_count
TRKR1/440510,dragon_soul_side,N/A,system_not_available
TRKR1/440510,elder_dragon_side,N/A,system_not_available
TRKR1/440510,first_baron_side,RED,team_totals
TRKR1/440510,blue_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/440510,red_dragon_count,,legacy_zero_filled_dragon_totals
TRKR1/450550,winner_side,BLUE,team_totals
TRKR1/450550,first_dragon_side,BLUE,firstdragon_flags
TRKR1/450550,more_dragons_side,,missing_dragon_count
TRKR1/450550,first_four_dragon_side,,missing_source_count
